system,region,name,tech,fuel,unit_type,carrier_in,carrier_out,bus_in,bus_out,p_nom,p_nom_max,cap_factor,capital_cost,lifetime,decom_start_existing,decom_start_new,final_cap,efficiency,co2_intensity,var_cost_no_fuel,ramp_up_rate,ramp_down_rate,ramping_cost,e_nom,p_charge_nom,standby_loss,efficiency_charge,efficiency_discharge,chp_power_to_heat,chp_power_loss_factor,chp_max_heat,chp_type,carrier_out_2,bus_out_2
HR,HR,TEBiomassHR,STUR,Biomass,supply,,electricity,,HR_EL,29,0,1,3400000,25,15,20,1,0.45,0.123,0,0.2,0.2,0.5,0,0,0,0,0,0,0,,N,,
HR,HR,TEPlomin1,STUR,Coal,supply,,electricity,,HR_EL,110,0,1,1000000,25,15,20,0.1,0.4,1.062,0,0.025,0.025,1.8,0,0,0,0,0,0,0,,N,,
HR,HR,TEPlomin2,STUR,Coal,supply,,electricity,,HR_EL,192,0,1,1000000,25,15,20,0.1,0.42,1.062,0,0.025,0.025,1.8,0,0,0,0,0,0,0,,N,,
HR,HR,TE-TOZagreb,STUR,Gas,supply,,electricity,,HR_EL,440,500,1,1200000,25,15,20,0.2,0.306976744,0.398,0,0.06,0.06,0.5,750,0,0.03,0,0.306976744,0.517647059,0.18,849,Y,heat,TE-TOZagreb
HR,HR,HEZakucac,HDAM,Hydro,supply,,electricity,,HR_EL,150,0,1,1000000,25,15,20,1,0.899311528,0,0,1,0.05,0,2047,0,0,0,0,0,0,0,N,,
HR,HR,HESenj,HDAM,Hydro,supply,,electricity,,HR_EL,60,0,1,1000000,25,15,20,1,0.895055028,0,0,1,0.05,0,143008,0,0,0,0,0,0,0,N,,
HR,HR,HEDubrovnik_HR,HDAM,Hydro,supply,,electricity,,HR_EL,30,0,1,1000000,25,15,20,1,0.899442094,0,0,1,0.05,0,821991,0,0,0,0,0,0,0,N,,
HR,HR,RHEVelebit,HPHS,Hydro,supply,,electricity,,HR_EL,80,0,1,1000000,25,15,20,1,0.906981197,0,0,1,0.05,0,14800,240,0.016216216,0.75,0,0,0,0,N,,
HR,HR,RHEOrlovac,HPHS,Hydro,supply,,electricity,,HR_EL,80,0,1,1000000,25,15,20,1,0.908233921,0,0,1,0.05,0,809761,10.2,1.26E-05,0.75,0,0,0,0,N,,
HR,HR,RHEVinodol,HPHS,Hydro,supply,,electricity,,HR_EL,3,0,1,1000000,25,15,20,1,0.899738937,0,0,1,0.05,0,4049,6.9,0.001704124,0.75,0,0,0,0,N,,
HR,HR,NEKrskoHR,STUR,Nuclear,supply,,electricity,,HR_EL,348,100,1,1000000,25,15,20,0,0.57,0,0,0.025,0.025,1.8,0,0,0,0,0,0,0,0,N,,
HR,HR,TERijeka,STUR,Oil,supply,,electricity,,HR_EL,700,0,1,1000000,25,15,20,0.1,0.52,0.517,0,0.025,0.025,1.8,0,0,0,0,0,0,0,0,N,,
HR,HR,HR_SolarPP,PHOT,Solar,supply,,electricity,,HR_EL,20,10000,1,500000,25,15,20,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,N,,
HR,HR,HR_SolarHigh,PHOT,Solar,supply,,electricity,,HR_EL,40,10000,1,600000,25,15,20,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,N,,
HR,HR,HR_WindPP,WTON,Wind,supply,,electricity,,HR_EL,104,10000,1,1100000,25,15,20,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,N,,
HR,HR,HR_WindPP1,WTON,Wind,supply,,electricity,,HR_EL,104,10000,1,1500000,25,15,20,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,N,,
HR,HR,HR_WindPP2,WTON,Wind,supply,,electricity,,HR_EL,104,10000,1,1800000,25,15,20,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,N,,
HR,HR,HR_WindPP3,WTON,Wind,supply,,electricity,,HR_EL,104,10000,1,2000000,25,15,20,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,N,,
HR,HR,hror,HROR,Hydro,supply,,electricity,,HR_EL,150,500,1,1000000,25,15,20,1,0.840659323,0,0,1,1,0,0,0,0,0,0,0,0,0,N,,
HR,HR,HECombo,HDAM,Hydro,supply,,electricity,,HR_EL,60,500,1,1000000,25,15,20,1,0.849083889,0,0,1,0.05,0,92389,0,0,0,0,0,0,0,N,,
