year,period,HR_HR_ATW_HP,HR_HR_geothermal_HP
2020,1,2.48,3.41
2020,2,2.48,3.4
2020,3,2.48,3.4
2020,4,2.41,3.32
2020,5,2.41,3.32
2020,6,2.41,3.32
2020,7,2.41,3.32
2020,8,2.41,3.32
2020,9,2.41,3.33
2020,10,2.42,3.33
2020,11,2.42,3.33
2020,12,2.42,3.33
2020,13,2.42,3.33
2020,14,2.42,3.33
2020,15,2.42,3.33
2020,16,2.67,3.61
2020,17,2.67,3.62
2020,18,2.67,3.62
2020,19,2.67,3.62
2020,20,2.67,3.62
2020,21,2.67,3.62
2020,22,2.52,3.45
2020,23,2.52,3.45
2020,24,2.52,3.45
2020,25,2.52,3.45
2020,26,2.52,3.45
2020,27,2.52,3.44
2020,28,2.39,3.28
2020,29,2.39,3.29
2020,30,2.39,3.29
2020,31,2.39,3.29
2020,32,2.39,3.29
2020,33,2.39,3.29
2020,34,2.31,3.2
2020,35,2.32,3.2
2020,36,2.32,3.2
2020,37,2.32,3.2
2020,38,2.32,3.2
2020,39,2.32,3.2
2020,40,2.57,3.49
2020,41,2.57,3.49
2020,42,2.57,3.49
2020,43,2.57,3.49
2020,44,2.57,3.49
2020,45,2.57,3.49
2020,46,2.47,3.37
2020,47,2.47,3.36
2020,48,2.47,3.37
2020,49,2.47,3.36
2020,50,2.46,3.35
2020,51,2.46,3.35
2020,52,2.33,3.19
2020,53,2.33,3.2
2020,54,2.33,3.2
2020,55,2.34,3.2
2020,56,2.34,3.21
2020,57,2.34,3.21
2020,58,2.27,3.12
2020,59,2.28,3.13
2020,60,2.28,3.13
2020,61,2.28,3.12
2020,62,2.28,3.12
2020,63,2.28,3.12
2020,64,2.55,3.43
2020,65,2.55,3.44
2020,66,2.55,3.44
2020,67,2.55,3.44
2020,68,2.55,3.44
2020,69,2.55,3.44
2020,70,2.38,3.24
2020,71,2.38,3.24
2020,72,2.38,3.24
2020,73,2.38,3.24
2020,74,2.37,3.22
2020,75,2.36,3.22
2020,76,2.29,3.12
2020,77,2.29,3.12
2020,78,2.29,3.13
2020,79,2.3,3.13
