year,period,TE-TOZagreb,HR_General_heating
2020,1,5.185517274,128.62
2020,2,3.537641522,87.79
2020,3,3.129452116,77.58
2020,4,2.056065158,51.04
2020,5,359.6703002,5826.72
2020,6,357.9518732,5773.2
2020,7,372.3493687,6036.8
2020,8,382.0098513,6360.69
2020,9,353.2702935,5981.3
2020,10,314.0236379,5499.44
2020,11,285.7678601,5268.99
2020,12,266.5224855,5034.5
2020,13,260.1980694,4959.99
2020,14,269.2084726,5102.87
2020,15,296.2799972,5269.67
2020,16,321.2551416,5430.34
2020,17,341.2866588,5760.54
2020,18,358.2290388,6116.54
2020,19,373.6848032,6607.68
2020,20,374.581812,6754.65
2020,21,366.9622764,6668.83
2020,22,362.9509336,6720.83
2020,23,354.2680898,6655.29
2020,24,7.286936811,180.69
2020,25,5.185517274,128.62
2020,26,3.537641522,87.79
2020,27,3.129452116,77.58
2020,28,2.056065158,51.04
2020,29,333.6671232,6759.01
2020,30,333.0523194,6939.91
2020,31,352.4841509,7372.04
2020,32,347.505248,7737.68
2020,33,312.8494635,7310.79
2020,34,288.826761,6830.85
2020,35,276.2635981,6546.39
2020,36,265.4289411,6280.88
2020,37,260.5457863,6140.87
2020,38,269.4100476,6199.49
2020,39,289.0182573,6444.81
2020,40,311.2267846,6745.28
2020,41,324.8532556,7136.38
2020,42,332.8406656,7458.68
2020,43,344.7235128,7813.84
2020,44,345.7263485,7876.16
2020,45,339.9713818,7795.71
2020,46,340.1830356,7831.23
2020,47,336.9779928,7723.56
2020,48,7.286936811,180.69
2020,49,5.185517274,128.62
2020,50,3.537641522,87.79
2020,51,3.129452116,77.58
2020,52,2.056065158,51.04
2020,53,361.8775466,8116.47
2020,54,366.0400707,8219.61
2020,55,378.2907923,8552.16
2020,56,382.0955207,8498.76
2020,57,356.6769112,7786.52
2020,58,335.8693302,6979.46
2020,59,329.489481,6355.26
2020,60,323.7647506,5989.01
2020,61,319.0781314,5751.71
2020,62,321.0888422,5770.88
2020,63,334.7203527,6000.49
2020,64,354.7921848,6367.23
2020,65,360.8948684,6799.69
2020,66,364.5584943,7135.4
2020,67,373.6545669,7587.09
2020,68,373.8762994,7771.21
2020,69,371.2356667,7716.04
2020,70,374.5616545,7760.76
2020,71,375.4385058,7713.22
2020,72,7.286936811,180.69
2020,73,5.185517274,128.62
2020,74,3.537641522,87.79
2020,75,3.129452116,77.58
2020,76,2.056065158,51.04
2020,77,374.1181894,7741.87
2020,78,378.3462254,7816.28
2020,79,394.0993128,8118.95
2020,80,398.785932,8189.27
2020,81,372.5307862,7563.98
2020,82,349.0321788,6940.78
2020,83,339.9562637,6575.12
2020,84,332.1351531,6194.31
2020,85,327.7559359,5998
2020,86,329.247591,6088.41
2020,87,345.2173716,6414.93
2020,88,376.4816565,6636.12
2020,89,384.368279,6869.02
2020,90,383.4208764,7036.58
2020,91,393.1720678,7319.74
2020,92,393.7515959,7264.85
2020,93,386.3941079,7049.18
2020,94,385.5575716,6980.52
2020,95,379.9185105,6776.33
2020,96,7.286936811,180.69
2020,97,5.185517274,128.62
2020,98,3.537641522,87.79
2020,99,3.129452116,77.58
2020,100,2.056065158,51.04
2020,101,356.4350212,6150
2020,102,359.2671502,6146.66
2020,103,371.749683,6460.05
2020,104,384.2775702,6588.97
2020,105,365.5562907,5951.8
2020,106,344.4009928,5242.81
2020,107,335.9852359,4756.88
2020,108,329.6255441,4328.96
2020,109,328.3203459,4149.11
2020,110,329.4390872,4325.32
2020,111,330.2504267,4682.1
2020,112,331.7370424,4910.95
2020,113,340.1376812,5171.05
2020,114,347.7773743,5365.42
2020,115,357.7452588,5755.83
2020,116,357.3471481,5947.23
2020,117,353.9858848,5875.58
2020,118,352.7260409,5898.85
2020,119,355.6035243,5782.37
2020,120,7.286936811,180.69
2020,121,5.185517274,128.62
2020,122,3.537641522,87.79
2020,123,3.129452116,77.58
2020,124,2.056065158,51.04
2020,125,335.6425583,5435.26
2020,126,334.9874395,5496.66
2020,127,347.585878,5803.53
2020,128,354.7165942,5830.19
2020,129,322.9534111,5124.08
2020,130,296.4059816,4373.71
2020,131,284.2862838,3851.39
2020,132,277.6091114,3415.05
2020,133,277.4780876,3208.39
2020,134,287.6273896,3294.97
2020,135,318.3222251,3739.47
2020,136,355.4825792,4285.46
2020,137,369.2400741,4687.67
2020,138,377.1569328,4985.84
2020,139,390.0174188,5379.31
2020,140,390.6322226,5481.46
2020,141,383.5871758,5441.61
2020,142,379.0870136,5531.52
2020,143,370.3688941,5470.2
2020,144,7.286936811,180.69
2020,145,5.185517274,128.62
2020,146,3.537641522,87.79
2020,147,3.129452116,77.58
2020,148,2.056065158,51.04
2020,149,371.8051161,5506.89
2020,150,378.5578792,5602.37
2020,151,394.2454547,5930.32
2020,152,400.7815246,5749.75
2020,153,373.347165,4743.73
2020,154,349.8535969,4030.13
2020,155,342.6573689,3512.41
2020,156,336.4488584,3132.76
2020,157,334.4532658,2964.79
2020,158,338.9887036,3099.25
2020,159,349.5512344,3510.8
2020,160,363.0517211,3948.4
