year,period,passenger_cars,motor_coaches_buses_and_trolley_buses,rail_metro_and_tram,commercial_vehicles,rail_transport,domestic_aviation,international_aviation,domestic_shipping,international_shipping
2020,1,0,0,0,0,0,0,0,0,0
2020,2,0,0,0,0,0,0,0,0,0
2020,3,0,0,0,0,0,0,0,0,0
2020,4,0,0,0,0,0,0,0,0,0
2020,5,0,0,0,0,0,0,0,0,0
2020,6,5.25E-07,0,0,0,0,0,0,0,0
2020,7,0.000139547,0,0,0,0,0,0,0,0
2020,8,0.000719381,0,0,0,0,0,0,0,0
2020,9,0.00040521,0,0,0,0,0,0,0,0
2020,10,3.96E-05,0,0,0,0,0,0,0,0
2020,11,3.67E-06,0,0,0,0,0,0,0,0
2020,12,3.70E-05,0,0,0,0,0,0,0,0
2020,13,1.59E-06,0,0,0,0,0,0,0,0
2020,14,4.97E-06,0,0,0,0,0,0,0,0
2020,15,1.97E-05,0,0,0,0,0,0,0,0
2020,16,6.05E-05,0,0,0,0,0,0,0,0
2020,17,0.000362173,0,0,0,0,0,0,0,0
2020,18,0.000362323,0,0,0,0,0,0,0,0
2020,19,0.000107794,0,0,0,0,0,0,0,0
2020,20,3.87E-05,0,0,0,0,0,0,0,0
2020,21,6.08E-05,0,0,0,0,0,0,0,0
2020,22,4.22E-05,0,0,0,0,0,0,0,0
2020,23,8.15E-06,0,0,0,0,0,0,0,0
2020,24,1.36E-05,0,0,0,0,0,0,0,0
2020,25,1.25E-06,0,0,0,0,0,0,0,0
2020,26,1.32E-07,0,0,0,0,0,0,0,0
2020,27,4.35E-08,0,0,0,0,0,0,0,0
2020,28,6.50E-08,0,0,0,0,0,0,0,0
2020,29,7.44E-08,0,0,0,0,0,0,0,0
2020,30,4.70E-07,0,0,0,0,0,0,0,0
2020,31,0.000120111,0,0,0,0,0,0,0,0
2020,32,0.000622511,0,0,0,0,0,0,0,0
2020,33,0.000385996,0,0,0,0,0,0,0,0
2020,34,4.23E-05,0,0,0,0,0,0,0,0
2020,35,2.52E-06,0,0,0,0,0,0,0,0
2020,36,2.21E-05,0,0,0,0,0,0,0,0
2020,37,9.65E-07,0,0,0,0,0,0,0,0
2020,38,5.95E-06,0,0,0,0,0,0,0,0
2020,39,2.37E-05,0,0,0,0,0,0,0,0
2020,40,0.000102652,0,0,0,0,0,0,0,0
2020,41,0.000387201,0,0,0,0,0,0,0,0
2020,42,0.000410071,0,0,0,0,0,0,0,0
2020,43,9.12E-05,0,0,0,0,0,0,0,0
2020,44,3.46E-05,0,0,0,0,0,0,0,0
2020,45,5.07E-05,0,0,0,0,0,0,0,0
2020,46,3.75E-05,0,0,0,0,0,0,0,0
2020,47,3.64E-06,0,0,0,0,0,0,0,0
2020,48,1.13E-05,0,0,0,0,0,0,0,0
2020,49,4.51E-07,0,0,0,0,0,0,0,0
2020,50,1.08E-07,0,0,0,0,0,0,0,0
2020,51,1.11E-07,0,0,0,0,0,0,0,0
2020,52,2.26E-08,0,0,0,0,0,0,0,0
2020,53,2.90E-09,0,0,0,0,0,0,0,0
2020,54,6.18E-07,0,0,0,0,0,0,0,0
2020,55,0.000120214,0,0,0,0,0,0,0,0
2020,56,0.000813881,0,0,0,0,0,0,0,0
2020,57,0.000482878,0,0,0,0,0,0,0,0
2020,58,3.81E-05,0,0,0,0,0,0,0,0
2020,59,4.94E-06,0,0,0,0,0,0,0,0
2020,60,2.96E-05,0,0,0,0,0,0,0,0
2020,61,6.79E-07,0,0,0,0,0,0,0,0
2020,62,1.07E-05,0,0,0,0,0,0,0,0
2020,63,2.98E-05,0,0,0,0,0,0,0,0
2020,64,6.83E-05,0,0,0,0,0,0,0,0
2020,65,0.000323861,0,0,0,0,0,0,0,0
2020,66,0.000343156,0,0,0,0,0,0,0,0
2020,67,7.78E-05,0,0,0,0,0,0,0,0
2020,68,3.41E-05,0,0,0,0,0,0,0,0
2020,69,4.14E-05,0,0,0,0,0,0,0,0
2020,70,4.92E-05,0,0,0,0,0,0,0,0
2020,71,5.02E-06,0,0,0,0,0,0,0,0
2020,72,9.76E-06,0,0,0,0,0,0,0,0
2020,73,7.27E-07,0,0,0,0,0,0,0,0
2020,74,1.41E-07,0,0,0,0,0,0,0,0
2020,75,1.15E-07,0,0,0,0,0,0,0,0
2020,76,4.47E-08,0,0,0,0,0,0,0,0
2020,77,8.60E-09,0,0,0,0,0,0,0,0
2020,78,6.39E-07,0,0,0,0,0,0,0,0
2020,79,0.000143885,0,0,0,0,0,0,0,0
2020,80,0.000673061,0,0,0,0,0,0,0,0
2020,81,0.00044729,0,0,0,0,0,0,0,0
2020,82,4.12E-05,0,0,0,0,0,0,0,0
2020,83,5.54E-06,0,0,0,0,0,0,0,0
2020,84,3.40E-05,0,0,0,0,0,0,0,0
2020,85,1.23E-06,0,0,0,0,0,0,0,0
2020,86,7.19E-06,0,0,0,0,0,0,0,0
2020,87,3.45E-05,0,0,0,0,0,0,0,0
2020,88,6.10E-05,0,0,0,0,0,0,0,0
2020,89,0.000364333,0,0,0,0,0,0,0,0
2020,90,0.000401475,0,0,0,0,0,0,0,0
2020,91,0.000115917,0,0,0,0,0,0,0,0
2020,92,4.07E-05,0,0,0,0,0,0,0,0
2020,93,5.08E-05,0,0,0,0,0,0,0,0
2020,94,3.50E-05,0,0,0,0,0,0,0,0
2020,95,5.74E-06,0,0,0,0,0,0,0,0
2020,96,9.95E-06,0,0,0,0,0,0,0,0
2020,97,5.16E-07,0,0,0,0,0,0,0,0
2020,98,9.77E-08,0,0,0,0,0,0,0,0
2020,99,1.20E-08,0,0,0,0,0,0,0,0
2020,100,2.50E-09,0,0,0,0,0,0,0,0
2020,101,9.47E-08,0,0,0,0,0,0,0,0
2020,102,4.65E-07,0,0,0,0,0,0,0,0
2020,103,0.000116818,0,0,0,0,0,0,0,0
2020,104,0.000720085,0,0,0,0,0,0,0,0
2020,105,0.000461128,0,0,0,0,0,0,0,0
2020,106,4.15E-05,0,0,0,0,0,0,0,0
2020,107,3.87E-06,0,0,0,0,0,0,0,0
2020,108,3.41E-05,0,0,0,0,0,0,0,0
2020,109,6.52E-07,0,0,0,0,0,0,0,0
2020,110,5.19E-06,0,0,0,0,0,0,0,0
2020,111,3.11E-05,0,0,0,0,0,0,0,0
2020,112,5.00E-05,0,0,0,0,0,0,0,0
2020,113,0.00038596,0,0,0,0,0,0,0,0
2020,114,0.000423488,0,0,0,0,0,0,0,0
2020,115,0.000113165,0,0,0,0,0,0,0,0
2020,116,4.76E-05,0,0,0,0,0,0,0,0
2020,117,5.51E-05,0,0,0,0,0,0,0,0
2020,118,4.25E-05,0,0,0,0,0,0,0,0
2020,119,2.90E-06,0,0,0,0,0,0,0,0
2020,120,1.11E-05,0,0,0,0,0,0,0,0
2020,121,4.98E-07,0,0,0,0,0,0,0,0
2020,122,6.80E-07,0,0,0,0,0,0,0,0
2020,123,1.62E-08,0,0,0,0,0,0,0,0
2020,124,2.91E-07,0,0,0,0,0,0,0,0
2020,125,2.77E-08,0,0,0,0,0,0,0,0
2020,126,2.63E-08,0,0,0,0,0,0,0,0
2020,127,2.04E-07,0,0,0,0,0,0,0,0
2020,128,4.05E-06,0,0,0,0,0,0,0,0
2020,129,6.51E-05,0,0,0,0,0,0,0,0
2020,130,0.001432286,0,0,0,0,0,0,0,0
2020,131,0.000454531,0,0,0,0,0,0,0,0
2020,132,0.000104234,0,0,0,0,0,0,0,0
2020,133,9.20E-05,0,0,0,0,0,0,0,0
2020,134,0.000578341,0,0,0,0,0,0,0,0
2020,135,5.89E-05,0,0,0,0,0,0,0,0
2020,136,3.25E-05,0,0,0,0,0,0,0,0
2020,137,7.98E-05,0,0,0,0,0,0,0,0
2020,138,7.11E-05,0,0,0,0,0,0,0,0
2020,139,0.000139778,0,0,0,0,0,0,0,0
2020,140,5.86E-05,0,0,0,0,0,0,0,0
2020,141,2.83E-05,0,0,0,0,0,0,0,0
2020,142,1.83E-05,0,0,0,0,0,0,0,0
2020,143,3.20E-05,0,0,0,0,0,0,0,0
2020,144,7.64E-06,0,0,0,0,0,0,0,0
2020,145,1.85E-06,0,0,0,0,0,0,0,0
2020,146,7.77E-07,0,0,0,0,0,0,0,0
2020,147,4.16E-06,0,0,0,0,0,0,0,0
2020,148,4.81E-07,0,0,0,0,0,0,0,0
2020,149,1.93E-08,0,0,0,0,0,0,0,0
2020,150,1.48E-08,0,0,0,0,0,0,0,0
2020,151,2.01E-07,0,0,0,0,0,0,0,0
2020,152,2.26E-06,0,0,0,0,0,0,0,0
2020,153,7.12E-05,0,0,0,0,0,0,0,0
2020,154,0.001492681,0,0,0,0,0,0,0,0
2020,155,0.000465471,0,0,0,0,0,0,0,0
2020,156,9.67E-05,0,0,0,0,0,0,0,0
2020,157,8.51E-05,0,0,0,0,0,0,0,0
2020,158,0.000680287,0,0,0,0,0,0,0,0
2020,159,4.78E-05,0,0,0,0,0,0,0,0
2020,160,2.59E-05,0,0,0,0,0,0,0,0
2020,161,5.19E-05,0,0,0,0,0,0,0,0
2020,162,7.71E-05,0,0,0,0,0,0,0,0
2020,163,0.000104561,0,0,0,0,0,0,0,0
2020,164,6.23E-05,0,0,0,0,0,0,0,0
2020,165,1.95E-05,0,0,0,0,0,0,0,0
2020,166,2.32E-05,0,0,0,0,0,0,0,0
2020,167,4.91E-05,0,0,0,0,0,0,0,0
2020,168,5.66E-06,0,0,0,0,0,0,0,0
2020,169,3.80E-07,0,0,0,0,0,0,0,0
2020,170,1.65E-07,0,0,0,0,0,0,0,0
2020,171,3.77E-08,0,0,0,0,0,0,0,0
2020,172,5.77E-08,0,0,0,0,0,0,0,0
2020,173,4.84E-08,0,0,0,0,0,0,0,0
2020,174,3.38E-07,0,0,0,0,0,0,0,0
2020,175,0.00011648,0,0,0,0,0,0,0,0
2020,176,0.000709383,0,0,0,0,0,0,0,0
2020,177,0.000456597,0,0,0,0,0,0,0,0
2020,178,4.59E-05,0,0,0,0,0,0,0,0
2020,179,2.32E-06,0,0,0,0,0,0,0,0
2020,180,2.84E-05,0,0,0,0,0,0,0,0
2020,181,9.52E-07,0,0,0,0,0,0,0,0
2020,182,8.25E-06,0,0,0,0,0,0,0,0
2020,183,3.70E-05,0,0,0,0,0,0,0,0
2020,184,8.29E-05,0,0,0,0,0,0,0,0
2020,185,0.00043206,0,0,0,0,0,0,0,0
2020,186,0.000402581,0,0,0,0,0,0,0,0
2020,187,0.000112548,0,0,0,0,0,0,0,0
2020,188,4.11E-05,0,0,0,0,0,0,0,0
2020,189,7.40E-05,0,0,0,0,0,0,0,0
2020,190,2.37E-05,0,0,0,0,0,0,0,0
2020,191,5.53E-06,0,0,0,0,0,0,0,0
2020,192,9.53E-06,0,0,0,0,0,0,0,0
2020,193,2.92E-07,0,0,0,0,0,0,0,0
2020,194,1.75E-07,0,0,0,0,0,0,0,0
2020,195,1.13E-07,0,0,0,0,0,0,0,0
2020,196,2.27E-08,0,0,0,0,0,0,0,0
2020,197,8.02E-08,0,0,0,0,0,0,0,0
2020,198,3.93E-07,0,0,0,0,0,0,0,0
2020,199,0.000129527,0,0,0,0,0,0,0,0
2020,200,0.000709544,0,0,0,0,0,0,0,0
2020,201,0.000376379,0,0,0,0,0,0,0,0
2020,202,3.93E-05,0,0,0,0,0,0,0,0
2020,203,3.50E-06,0,0,0,0,0,0,0,0
2020,204,3.61E-05,0,0,0,0,0,0,0,0
2020,205,1.13E-06,0,0,0,0,0,0,0,0
2020,206,5.25E-06,0,0,0,0,0,0,0,0
2020,207,4.69E-05,0,0,0,0,0,0,0,0
2020,208,7.96E-05,0,0,0,0,0,0,0,0
2020,209,0.000368097,0,0,0,0,0,0,0,0
2020,210,0.000374401,0,0,0,0,0,0,0,0
2020,211,0.000111476,0,0,0,0,0,0,0,0
2020,212,4.56E-05,0,0,0,0,0,0,0,0
2020,213,4.83E-05,0,0,0,0,0,0,0,0
2020,214,2.64E-05,0,0,0,0,0,0,0,0
2020,215,5.52E-06,0,0,0,0,0,0,0,0
2020,216,7.07E-06,0,0,0,0,0,0,0,0
2020,217,5.85E-07,0,0,0,0,0,0,0,0
2020,218,1.38E-07,0,0,0,0,0,0,0,0
2020,219,1.43E-08,0,0,0,0,0,0,0,0
2020,220,3.10E-09,0,0,0,0,0,0,0,0
2020,221,3.85E-08,0,0,0,0,0,0,0,0
2020,222,7.38E-07,0,0,0,0,0,0,0,0
2020,223,0.000139247,0,0,0,0,0,0,0,0
2020,224,0.000708253,0,0,0,0,0,0,0,0
2020,225,0.000458402,0,0,0,0,0,0,0,0
2020,226,4.80E-05,0,0,0,0,0,0,0,0
2020,227,2.48E-06,0,0,0,0,0,0,0,0
2020,228,2.42E-05,0,0,0,0,0,0,0,0
2020,229,9.40E-07,0,0,0,0,0,0,0,0
2020,230,4.47E-06,0,0,0,0,0,0,0,0
2020,231,2.85E-05,0,0,0,0,0,0,0,0
2020,232,6.69E-05,0,0,0,0,0,0,0,0
2020,233,0.000364861,0,0,0,0,0,0,0,0
2020,234,0.000363175,0,0,0,0,0,0,0,0
2020,235,0.000104332,0,0,0,0,0,0,0,0
2020,236,3.75E-05,0,0,0,0,0,0,0,0
2020,237,7.05E-05,0,0,0,0,0,0,0,0
2020,238,4.40E-05,0,0,0,0,0,0,0,0
2020,239,4.37E-06,0,0,0,0,0,0,0,0
2020,240,1.52E-05,0,0,0,0,0,0,0,0
2020,241,9.69E-07,0,0,0,0,0,0,0,0
2020,242,2.45E-07,0,0,0,0,0,0,0,0
2020,243,4.44E-08,0,0,0,0,0,0,0,0
2020,244,5.76E-08,0,0,0,0,0,0,0,0
2020,245,1.15E-07,0,0,0,0,0,0,0,0
2020,246,4.84E-07,0,0,0,0,0,0,0,0
2020,247,0.00016292,0,0,0,0,0,0,0,0
2020,248,0.000658424,0,0,0,0,0,0,0,0
2020,249,0.000479436,0,0,0,0,0,0,0,0
2020,250,4.17E-05,0,0,0,0,0,0,0,0
2020,251,4.14E-06,0,0,0,0,0,0,0,0
2020,252,2.85E-05,0,0,0,0,0,0,0,0
2020,253,8.49E-07,0,0,0,0,0,0,0,0
2020,254,9.02E-06,0,0,0,0,0,0,0,0
2020,255,3.10E-05,0,0,0,0,0,0,0,0
2020,256,7.95E-05,0,0,0,0,0,0,0,0
2020,257,0.000358911,0,0,0,0,0,0,0,0
2020,258,0.000396019,0,0,0,0,0,0,0,0
2020,259,8.64E-05,0,0,0,0,0,0,0,0
2020,260,3.39E-05,0,0,0,0,0,0,0,0
2020,261,5.80E-05,0,0,0,0,0,0,0,0
2020,262,3.53E-05,0,0,0,0,0,0,0,0
2020,263,7.08E-06,0,0,0,0,0,0,0,0
2020,264,1.11E-05,0,0,0,0,0,0,0,0
2020,265,8.78E-07,0,0,0,0,0,0,0,0
2020,266,4.58E-08,0,0,0,0,0,0,0,0
2020,267,1.95E-08,0,0,0,0,0,0,0,0
2020,268,1.27E-08,0,0,0,0,0,0,0,0
2020,269,4.71E-08,0,0,0,0,0,0,0,0
2020,270,3.26E-07,0,0,0,0,0,0,0,0
2020,271,0.000123607,0,0,0,0,0,0,0,0
2020,272,0.000701918,0,0,0,0,0,0,0,0
2020,273,0.000450818,0,0,0,0,0,0,0,0
2020,274,3.78E-05,0,0,0,0,0,0,0,0
