year,period,passenger_cars,motor_coaches_buses_and_trolley_buses,rail_metro_and_tram,commercial_vehicles,rail_transport,domestic_aviation,international_aviation,domestic_shipping,international_shipping
2020,1,1,0,0,0,0,0,0,0,0
2020,2,1,0,0,0,0,0,0,0,0
2020,3,1,0,0,0,0,0,0,0,0
2020,4,1,0,0,0,0,0,0,0,0
2020,5,1,0,0,0,0,0,0,0,0
2020,6,0.978,0,0,0,0,0,0,0,0
2020,7,0.858,0,0,0,0,0,0,0,0
2020,8,0.759,0,0,0,0,0,0,0,0
2020,9,0.765,0,0,0,0,0,0,0,0
2020,10,0.827,0,0,0,0,0,0,0,0
2020,11,0.893,0,0,0,0,0,0,0,0
2020,12,0.948,0,0,0,0,0,0,0,0
2020,13,0.954,0,0,0,0,0,0,0,0
2020,14,0.95,0,0,0,0,0,0,0,0
2020,15,0.926,0,0,0,0,0,0,0,0
2020,16,0.885,0,0,0,0,0,0,0,0
2020,17,0.873,0,0,0,0,0,0,0,0
2020,18,0.865,0,0,0,0,0,0,0,0
2020,19,0.859,0,0,0,0,0,0,0,0
2020,20,0.881,0,0,0,0,0,0,0,0
2020,21,0.898,0,0,0,0,0,0,0,0
2020,22,0.93,0,0,0,0,0,0,0,0
2020,23,0.956,0,0,0,0,0,0,0,0
2020,24,0.95,0,0,0,0,0,0,0,0
2020,25,0.987,0,0,0,0,0,0,0,0
2020,26,0.992,0,0,0,0,0,0,0,0
2020,27,0.995,0,0,0,0,0,0,0,0
2020,28,0.995,0,0,0,0,0,0,0,0
2020,29,0.995,0,0,0,0,0,0,0,0
2020,30,0.969,0,0,0,0,0,0,0,0
2020,31,0.867,0,0,0,0,0,0,0,0
2020,32,0.781,0,0,0,0,0,0,0,0
2020,33,0.782,0,0,0,0,0,0,0,0
2020,34,0.825,0,0,0,0,0,0,0,0
2020,35,0.903,0,0,0,0,0,0,0,0
2020,36,0.956,0,0,0,0,0,0,0,0
2020,37,0.965,0,0,0,0,0,0,0,0
2020,38,0.948,0,0,0,0,0,0,0,0
2020,39,0.918,0,0,0,0,0,0,0,0
2020,40,0.86,0,0,0,0,0,0,0,0
2020,41,0.862,0,0,0,0,0,0,0,0
2020,42,0.84,0,0,0,0,0,0,0,0
2020,43,0.857,0,0,0,0,0,0,0,0
2020,44,0.89,0,0,0,0,0,0,0,0
2020,45,0.911,0,0,0,0,0,0,0,0
2020,46,0.939,0,0,0,0,0,0,0,0
2020,47,0.969,0,0,0,0,0,0,0,0
2020,48,0.964,0,0,0,0,0,0,0,0
2020,49,0.99,0,0,0,0,0,0,0,0
2020,50,0.992,0,0,0,0,0,0,0,0
2020,51,0.995,0,0,0,0,0,0,0,0
2020,52,0.997,0,0,0,0,0,0,0,0
2020,53,0.997,0,0,0,0,0,0,0,0
2020,54,0.977,0,0,0,0,0,0,0,0
2020,55,0.873,0,0,0,0,0,0,0,0
2020,56,0.732,0,0,0,0,0,0,0,0
2020,57,0.75,0,0,0,0,0,0,0,0
2020,58,0.815,0,0,0,0,0,0,0,0
2020,59,0.889,0,0,0,0,0,0,0,0
2020,60,0.941,0,0,0,0,0,0,0,0
2020,61,0.957,0,0,0,0,0,0,0,0
2020,62,0.936,0,0,0,0,0,0,0,0
2020,63,0.911,0,0,0,0,0,0,0,0
2020,64,0.867,0,0,0,0,0,0,0,0
2020,65,0.863,0,0,0,0,0,0,0,0
2020,66,0.853,0,0,0,0,0,0,0,0
2020,67,0.869,0,0,0,0,0,0,0,0
2020,68,0.882,0,0,0,0,0,0,0,0
2020,69,0.918,0,0,0,0,0,0,0,0
2020,70,0.941,0,0,0,0,0,0,0,0
2020,71,0.956,0,0,0,0,0,0,0,0
2020,72,0.953,0,0,0,0,0,0,0,0
2020,73,0.985,0,0,0,0,0,0,0,0
2020,74,0.99,0,0,0,0,0,0,0,0
2020,75,0.994,0,0,0,0,0,0,0,0
2020,76,0.996,0,0,0,0,0,0,0,0
2020,77,0.998,0,0,0,0,0,0,0,0
2020,78,0.966,0,0,0,0,0,0,0,0
2020,79,0.871,0,0,0,0,0,0,0,0
2020,80,0.755,0,0,0,0,0,0,0,0
2020,81,0.747,0,0,0,0,0,0,0,0
2020,82,0.822,0,0,0,0,0,0,0,0
2020,83,0.9,0,0,0,0,0,0,0,0
2020,84,0.949,0,0,0,0,0,0,0,0
2020,85,0.961,0,0,0,0,0,0,0,0
2020,86,0.952,0,0,0,0,0,0,0,0
2020,87,0.924,0,0,0,0,0,0,0,0
2020,88,0.888,0,0,0,0,0,0,0,0
2020,89,0.866,0,0,0,0,0,0,0,0
2020,90,0.846,0,0,0,0,0,0,0,0
2020,91,0.85,0,0,0,0,0,0,0,0
2020,92,0.878,0,0,0,0,0,0,0,0
2020,93,0.9,0,0,0,0,0,0,0,0
2020,94,0.926,0,0,0,0,0,0,0,0
2020,95,0.949,0,0,0,0,0,0,0,0
2020,96,0.945,0,0,0,0,0,0,0,0
2020,97,0.987,0,0,0,0,0,0,0,0
2020,98,0.993,0,0,0,0,0,0,0,0
2020,99,0.998,0,0,0,0,0,0,0,0
2020,100,0.999,0,0,0,0,0,0,0,0
2020,101,0.999,0,0,0,0,0,0,0,0
2020,102,0.98,0,0,0,0,0,0,0,0
2020,103,0.865,0,0,0,0,0,0,0,0
2020,104,0.754,0,0,0,0,0,0,0,0
2020,105,0.755,0,0,0,0,0,0,0,0
2020,106,0.809,0,0,0,0,0,0,0,0
2020,107,0.896,0,0,0,0,0,0,0,0
2020,108,0.945,0,0,0,0,0,0,0,0
2020,109,0.958,0,0,0,0,0,0,0,0
2020,110,0.95,0,0,0,0,0,0,0,0
2020,111,0.93,0,0,0,0,0,0,0,0
2020,112,0.904,0,0,0,0,0,0,0,0
2020,113,0.865,0,0,0,0,0,0,0,0
2020,114,0.834,0,0,0,0,0,0,0,0
2020,115,0.837,0,0,0,0,0,0,0,0
2020,116,0.858,0,0,0,0,0,0,0,0
2020,117,0.913,0,0,0,0,0,0,0,0
2020,118,0.931,0,0,0,0,0,0,0,0
2020,119,0.96,0,0,0,0,0,0,0,0
2020,120,0.955,0,0,0,0,0,0,0,0
2020,121,0.993,0,0,0,0,0,0,0,0
2020,122,0.995,0,0,0,0,0,0,0,0
2020,123,0.995,0,0,0,0,0,0,0,0
2020,124,0.997,0,0,0,0,0,0,0,0
2020,125,0.997,0,0,0,0,0,0,0,0
2020,126,0.997,0,0,0,0,0,0,0,0
2020,127,0.997,0,0,0,0,0,0,0,0
2020,128,0.997,0,0,0,0,0,0,0,0
2020,129,0.924,0,0,0,0,0,0,0,0
2020,130,0.693,0,0,0,0,0,0,0,0
2020,131,0.652,0,0,0,0,0,0,0,0
2020,132,0.847,0,0,0,0,0,0,0,0
2020,133,0.894,0,0,0,0,0,0,0,0
2020,134,0.899,0,0,0,0,0,0,0,0
2020,135,0.929,0,0,0,0,0,0,0,0
2020,136,0.925,0,0,0,0,0,0,0,0
2020,137,0.901,0,0,0,0,0,0,0,0
2020,138,0.895,0,0,0,0,0,0,0,0
2020,139,0.9,0,0,0,0,0,0,0,0
2020,140,0.93,0,0,0,0,0,0,0,0
2020,141,0.958,0,0,0,0,0,0,0,0
2020,142,0.969,0,0,0,0,0,0,0,0
2020,143,0.973,0,0,0,0,0,0,0,0
2020,144,0.964,0,0,0,0,0,0,0,0
2020,145,0.985,0,0,0,0,0,0,0,0
2020,146,0.987,0,0,0,0,0,0,0,0
2020,147,0.989,0,0,0,0,0,0,0,0
2020,148,0.991,0,0,0,0,0,0,0,0
2020,149,0.993,0,0,0,0,0,0,0,0
2020,150,0.995,0,0,0,0,0,0,0,0
