unit,system,region,tech,carrier_in,carrier_out,bus_in,bus_out,e_nom,e_nom_max,e_min,p_charge_nom,p_charge_nom_max,p_discharge_nom,p_discharge_nom_max,duration_charge,duration_discharge,efficiency_charge,efficiency_discharge,standby_loss,capital_cost_energy,capital_cost_power_charge,capital_cost_power_discharge,lifetime,spillage_cost
passenger_cars_EV_electricity,HR,HR,EV,electricity,electricity,HR_EL,HR_EL,14.05,14.05,0.0,1.967,1.967,1.967,1.967,7.142857142857143,7.142857142857143,0.9,0.9,0.0,0.0,0.0,100.0,20,0.0
passenger_cars_FCEV_hydrogen,HR,HR,FCEV,hydrogen,hydrogen,HR_H2,HR_H2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.084,0.084,0.9,0.9,0.0,0.0,0.0,100.0,20,0.0
domestic_aviation_EV_electricity,HR,HR,EV,electricity,electricity,HR_EL,HR_EL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.9,0.9,0.0,0.0,0.0,100.0,20,0.0
domestic_aviation_FCEV_hydrogen,HR,HR,FCEV,hydrogen,hydrogen,HR_H2,HR_H2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.9,0.9,0.0,0.0,0.0,100.0,20,0.0
international_aviation_FCEV_hydrogen,HR,HR,FCEV,hydrogen,hydrogen,HR_H2,HR_H2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,12.5,0.9,0.9,0.0,0.0,0.0,100.0,20,0.0
motor_coaches_buses_and_trolley_buses_EV_electricity,HR,HR,EV,electricity,electricity,HR_EL,HR_EL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.9,0.9,0.0,0.0,0.0,100.0,20,0.0
motor_coaches_buses_and_trolley_buses_FCEV_hydrogen,HR,HR,FCEV,hydrogen,hydrogen,HR_H2,HR_H2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,0.9,0.9,0.0,0.0,0.0,100.0,20,0.0
rail_metro_and_tram_EV_electricity,HR,HR,EV,electricity,electricity,HR_EL,HR_EL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,3.3333333333333335,0.9,0.9,0.0,0.0,0.0,100.0,20,0.0
domestic_shipping_EV_electricity,HR,HR,EV,electricity,electricity,HR_EL,HR_EL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.326530612244898,3.326530612244898,0.9,0.9,0.0,0.0,0.0,100.0,20,0.0
rail_transport_EV_electricity,HR,HR,EV,electricity,electricity,HR_EL,HR_EL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,3.3333333333333335,0.9,0.9,0.0,0.0,0.0,100.0,20,0.0
commercial_vehicles_EV_electricity,HR,HR,EV,electricity,electricity,HR_EL,HR_EL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9,0.9,0.0,0.0,0.0,100.0,20,0.0
commercial_vehicles_FCEV_hydrogen,HR,HR,FCEV,hydrogen,hydrogen,HR_H2,HR_H2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.9,0.9,0.0,0.0,0.0,100.0,20,0.0
